shortfall_hours,max_shortfall_kw,storm_sols,reliability,sim,scenario
0.0,0.0,1,1.0,424,6p Solar+Fission
0.0,0.0,8,1.0,425,6p Solar+Fission
0.0,0.0,53,1.0,426,6p Solar+Fission
0.0,0.0,8,1.0,427,6p Solar+Fission
0.0,0.0,17,1.0,428,6p Solar+Fission
0.0,0.0,5,1.0,429,6p Solar+Fission
0.0,0.0,16,1.0,430,6p Solar+Fission
0.0,0.0,41,1.0,431,6p Solar+Fission
0.0,0.0,43,1.0,432,6p Solar+Fission
0.0,0.0,20,1.0,433,6p Solar+Fission
0.0,0.0,17,1.0,434,6p Solar+Fission
0.0,0.0,19,1.0,435,6p Solar+Fission
0.0,0.0,15,1.0,436,6p Solar+Fission
0.0,0.0,73,1.0,437,6p Solar+Fission
0.0,0.0,16,1.0,438,6p Solar+Fission
24.6,16.117585498316718,31,0.9985029940119761,439,6p Solar+Fission
0.0,0.0,77,1.0,440,6p Solar+Fission
0.0,0.0,63,1.0,441,6p Solar+Fission
0.0,0.0,1,1.0,442,6p Solar+Fission
0.0,0.0,2,1.0,443,6p Solar+Fission
0.0,0.0,10,1.0,444,6p Solar+Fission
0.0,0.0,34,1.0,445,6p Solar+Fission
0.0,0.0,1,1.0,446,6p Solar+Fission
0.0,0.0,13,1.0,447,6p Solar+Fission
0.0,0.0,76,1.0,448,6p Solar+Fission
0.0,0.0,40,1.0,449,6p Solar+Fission
0.0,0.0,35,1.0,450,6p Solar+Fission
0.0,0.0,0,1.0,451,6p Solar+Fission
0.0,0.0,26,1.0,452,6p Solar+Fission
0.0,0.0,11,1.0,453,6p Solar+Fission
0.0,0.0,45,1.0,454,6p Solar+Fission
0.0,0.0,26,1.0,455,6p Solar+Fission
0.0,0.0,19,1.0,456,6p Solar+Fission
0.0,0.0,8,1.0,457,6p Solar+Fission
0.0,0.0,4,1.0,458,6p Solar+Fission
0.0,0.0,12,1.0,459,6p Solar+Fission
0.0,0.0,5,1.0,460,6p Solar+Fission
0.0,0.0,6,1.0,461,6p Solar+Fission
0.0,0.0,4,1.0,462,6p Solar+Fission
0.0,0.0,14,1.0,463,6p Solar+Fission
24.6,16.490812564432897,16,0.9985029940119761,464,6p Solar+Fission
0.0,0.0,36,1.0,465,6p Solar+Fission
0.0,0.0,10,1.0,466,6p Solar+Fission
0.0,0.0,25,1.0,467,6p Solar+Fission
0.0,0.0,1,1.0,468,6p Solar+Fission
0.0,0.0,78,1.0,469,6p Solar+Fission
0.0,0.0,13,1.0,470,6p Solar+Fission
0.0,0.0,42,1.0,471,6p Solar+Fission
0.0,0.0,29,1.0,472,6p Solar+Fission
0.0,0.0,39,1.0,473,6p Solar+Fission
0.0,0.0,12,1.0,474,6p Solar+Fission
0.0,0.0,13,1.0,475,6p Solar+Fission
0.0,0.0,23,1.0,476,6p Solar+Fission
0.0,0.0,18,1.0,477,6p Solar+Fission
24.6,17.49012371501537,52,0.9985029940119761,478,6p Solar+Fission
0.0,0.0,12,1.0,479,6p Solar+Fission
0.0,0.0,31,1.0,480,6p Solar+Fission
0.0,0.0,5,1.0,481,6p Solar+Fission
0.0,0.0,26,1.0,482,6p Solar+Fission
0.0,0.0,26,1.0,483,6p Solar+Fission
0.0,0.0,5,1.0,484,6p Solar+Fission
0.0,0.0,9,1.0,485,6p Solar+Fission
0.0,0.0,15,1.0,486,6p Solar+Fission
0.0,0.0,4,1.0,487,6p Solar+Fission
0.0,0.0,26,1.0,488,6p Solar+Fission
0.0,0.0,33,1.0,489,6p Solar+Fission
0.0,0.0,38,1.0,490,6p Solar+Fission
0.0,0.0,35,1.0,491,6p Solar+Fission
0.0,0.0,43,1.0,492,6p Solar+Fission
0.0,0.0,12,1.0,493,6p Solar+Fission
0.0,0.0,11,1.0,494,6p Solar+Fission
0.0,0.0,1,1.0,495,6p Solar+Fission
0.0,0.0,28,1.0,496,6p Solar+Fission
0.0,0.0,31,1.0,497,6p Solar+Fission
0.0,0.0,42,1.0,498,6p Solar+Fission
0.0,0.0,27,1.0,499,6p Solar+Fission
0.0,0.0,0,1.0,500,6p Solar+Fission
0.0,0.0,32,1.0,501,6p Solar+Fission
0.0,0.0,15,1.0,502,6p Solar+Fission
0.0,0.0,4,1.0,503,6p Solar+Fission
0.0,0.0,12,1.0,504,6p Solar+Fission
0.0,0.0,32,1.0,505,6p Solar+Fission
0.0,0.0,39,1.0,506,6p Solar+Fission
0.0,0.0,66,1.0,507,6p Solar+Fission
0.0,0.0,27,1.0,508,6p Solar+Fission
0.0,0.0,2,1.0,509,6p Solar+Fission
0.0,0.0,19,1.0,510,6p Solar+Fission
0.0,0.0,1,1.0,511,6p Solar+Fission
0.0,0.0,47,1.0,512,6p Solar+Fission
0.0,0.0,31,1.0,513,6p Solar+Fission
0.0,0.0,4,1.0,514,6p Solar+Fission
0.0,0.0,85,1.0,515,6p Solar+Fission
0.0,0.0,2,1.0,516,6p Solar+Fission
0.0,0.0,7,1.0,517,6p Solar+Fission
0.0,0.0,4,1.0,518,6p Solar+Fission
0.0,0.0,32,1.0,519,6p Solar+Fission
0.0,0.0,63,1.0,520,6p Solar+Fission
0.0,0.0,17,1.0,521,6p Solar+Fission
0.0,0.0,22,1.0,522,6p Solar+Fission
0.0,0.0,32,1.0,523,6p Solar+Fission
0.0,0.0,7,1.0,524,6p Solar+Fission
0.0,0.0,58,1.0,525,6p Solar+Fission
0.0,0.0,45,1.0,526,6p Solar+Fission
0.0,0.0,33,1.0,527,6p Solar+Fission
0.0,0.0,12,1.0,528,6p Solar+Fission
